word_id,transcription
a01-003u-05-00,Government
a01-003u-05-01,Bill
a01-003u-05-02,which
a01-003u-05-03,brought
a01-003u-05-04,life
a01-003u-05-05,peers
a01-003u-06-00,into
a01-003u-06-01,existence
a01-003u-06-02,","
a01-003u-06-03,they
a01-003u-06-04,should
a01-003u-06-05,not
a01-003u-06-06,now
a01-003u-06-07,put
a01-003u-07-00,forward
a01-003u-07-01,nominees
a01-003u-07-02,.
a01-003u-07-03,He
a01-003u-07-04,believes
a01-003u-07-05,that
a01-003u-07-06,the
a01-003u-08-00,House
a01-003u-08-01,of
a01-003u-08-02,Lords
a01-003u-08-03,should
a01-003u-08-04,be
a01-003u-08-05,abolished
a01-003u-08-06,and
a01-003u-09-00,that
a01-003u-09-01,Labour
a01-003u-09-02,should
a01-003u-09-03,not
a01-003u-09-04,take
a01-003u-09-05,any
a01-003u-09-06,steps
a01-003u-10-00,which
a01-003u-10-01,would
a01-003u-10-02,appear
a01-003u-10-03,to
a01-003u-10-04,""""
a01-003u-10-05,prop
a01-003u-10-06,up
a01-003u-10-07,""""
a01-003u-10-08,an
a01-003u-10-09,out-
a01-003x-00-00,Though
a01-003x-00-01,they
a01-003x-00-02,may
a01-003x-00-03,gather
a01-003x-00-04,some
a01-003x-00-05,Left-wing
a01-003x-00-06,support
a01-003x-00-07,","
a01-003x-00-08,a
a01-003x-01-00,large
a01-003x-01-01,majority
a01-003x-01-02,of
a01-003x-01-03,Labour
a01-003x-01-04,Ps
a01-003x-01-05,are
a01-003x-01-06,likely
a01-003x-01-07,to
a01-003x-01-08,turn
a01-003x-02-00,down
a01-003x-02-01,the
a01-003x-02-02,Foot-Griffiths
a01-003x-02-03,resolution
a01-003x-02-04,.
a01-003x-02-05,Mr.
a01-003x-02-06,Foot's
a01-003x-02-07,line
a01-003x-03-00,will
a01-003x-03-01,be
a01-003x-03-02,that
a01-003x-03-03,as
a01-003x-03-04,Labour
a01-003x-03-05,Ps
a01-003x-03-06,opposed
a01-003x-03-07,the
a01-003x-03-08,Govern-
a01-003x-04-00,ment
a01-003x-04-01,Bill
a01-003x-04-02,which
a01-003x-04-03,brought
a01-003x-04-04,life
a01-003x-04-05,peers
a01-003x-04-06,into
a01-003x-04-07,existence
a01-003x-04-08,","
a01-003x-04-09,they
a01-003x-05-00,should
a01-003x-05-01,not
a01-003x-05-02,now
a01-003x-05-03,put
a01-003x-05-04,forward
a01-003x-05-05,nominees
a01-003x-05-06,.
a01-003x-05-07,He
a01-003x-05-08,believes
a01-003x-06-00,that
a01-003x-06-01,the
a01-003x-06-02,House
a01-003x-06-03,of
a01-003x-06-04,Lords
a01-003x-06-05,should
a01-003x-06-06,be
a01-003x-06-07,abolished
a01-003x-06-08,and
a01-003x-07-00,that
a01-003x-07-01,Labour
a01-003x-07-02,should
a01-003x-07-03,not
a01-003x-07-04,take
a01-003x-07-05,any
a01-003x-07-06,steps
a01-003x-07-07,which
a01-003x-07-08,would
a01-003x-08-00,appear
a01-003x-08-01,to
a01-003x-08-02,""""
a01-003x-08-03,prop
a01-003x-08-04,up
a01-003x-08-05,""""
a01-003x-08-06,an
a01-003x-08-07,out-dated
a01-003x-08-08,institution
a01-003x-08-09,.
a01-007-00-00,Since
a01-007-00-01,1958
a01-007-00-02,","
a01-007-00-03,13
a01-007-00-04,Labour
a01-007-00-05,life
a01-007-00-06,Peers
a01-007-00-07,and
a01-007-01-00,Peeresses
a01-007-01-01,have
a01-007-01-02,been
a01-007-01-03,created
a01-007-01-04,.
a01-007-01-05,Most
a01-007-01-06,Labour
a01-007-02-00,sentiment
a01-007-02-01,would
a01-007-02-02,#
a01-007-02-03,still
a01-007-02-04,favour
a01-007-02-05,the
a01-007-02-06,abolition
a01-007-03-00,of
a01-007-03-01,the
a01-007-03-02,House
a01-007-03-03,of
a01-007-03-04,Lords
a01-007-03-05,","
a01-007-03-06,but
a01-007-03-07,while
a01-007-03-08,it
a01-007-03-09,remains
a01-007-04-00,Labour
a01-007-04-01,has
a01-007-04-02,to
a01-007-04-03,have
a01-007-04-04,an
a01-007-04-05,adequate
a01-007-04-06,number
a01-007-04-07,of
a01-007-05-00,members
a01-007-05-01,.
a01-007-05-02,THE
a01-007-05-03,two
a01-007-05-04,rival
a01-007-05-05,African
a01-007-05-06,Nationalist
a01-007-06-00,Parties
a01-007-06-01,of
a01-007-06-02,Northern
a01-007-06-03,Rhodesia
a01-007-06-04,have
a01-007-06-05,agreed
a01-007-06-06,to
a01-007-07-00,get
a01-007-07-01,together
a01-007-07-02,to
a01-007-07-03,face
a01-007-07-04,the
a01-007-07-05,challenge
a01-007-07-06,from
a01-007-07-07,Sir
a01-007-08-00,Roy
a01-007-08-01,Welensky
a01-007-08-02,","
a01-007-08-03,the
a01-007-08-04,Federal
a01-007-08-05,Premier
a01-007-08-06,.
a01-007u-00-00,Since
a01-007u-00-01,1958
a01-007u-00-02,","
a01-007u-00-03,13
a01-007u-00-04,Labour
a01-007u-00-05,life
a01-007u-00-06,Peers
a01-007u-00-07,and
a01-007u-01-00,Peeresses
a01-007u-01-01,have
a01-007u-01-02,been
a01-007u-01-03,created
a01-007u-01-04,.
a01-007u-01-05,Most
a01-007u-01-06,Labour
a01-007u-02-00,sentiment
a01-007u-02-01,would
a01-007u-02-02,still
a01-007u-02-03,favour
a01-007u-02-04,the
a01-007u-02-05,abolition
a01-007u-03-00,of
a01-007u-03-01,the
a01-007u-03-02,House
a01-007u-03-03,of
a01-007u-03-04,Lords
a01-007u-03-05,","
a01-007u-03-06,but
a01-007u-03-07,while
a01-007u-03-08,it
a01-007u-03-09,remains
a01-007u-04-00,Labour
a01-007u-04-01,has
a01-007u-04-02,to
a01-007u-04-03,have
a01-007u-04-04,an
a01-007u-04-05,adequate
a01-007u-04-06,number
a01-007u-05-00,of
a01-007u-05-01,members
a01-007u-05-02,.
a01-007u-05-03,THE
a01-007u-05-04,two
a01-007u-05-05,rival
a01-007u-05-06,African
a01-007u-06-00,Nationalist
a01-007u-06-01,Parties
a01-007u-06-02,of
a01-007u-06-03,Northern
a01-007u-06-04,Rhodesia
a01-007u-07-00,have
a01-007u-07-01,agreed
a01-007u-07-02,to
a01-007u-07-03,get
a01-007u-07-04,together
a01-007u-07-05,to
a01-007u-07-06,face
a01-007u-08-00,the
a01-007u-08-01,challenge
a01-007u-08-02,from
a01-007u-08-03,Sir
a01-007u-08-04,Roy
a01-007u-08-05,Welensky
a01-007u-08-06,","
a01-007u-09-00,the
a01-007u-09-01,Federal
a01-007u-09-02,Premier
a01-007u-09-03,.
a01-007x-00-00,Since
a01-007x-00-01,1958
a01-007x-00-02,","
a01-007x-00-03,13
a01-007x-00-04,Labour
a01-007x-00-05,life
a01-007x-00-06,Peers
a01-007x-00-07,and
a01-007x-00-08,#
a01-007x-01-00,Peeresses
a01-007x-01-01,have
a01-007x-01-02,been
a01-007x-01-03,created
a01-007x-01-04,.
a01-007x-01-05,Most
a01-007x-01-06,Labour
a01-007x-01-07,sentiment
a01-007x-02-00,would
a01-007x-02-01,still
a01-007x-02-02,favour
a01-007x-02-03,the
a01-007x-02-04,abolition
a01-007x-02-05,of
a01-007x-02-06,the
a01-007x-02-07,House
a01-007x-03-00,of
a01-007x-03-01,Lords
a01-007x-03-02,","
a01-007x-03-03,but
a01-007x-03-04,while
a01-007x-03-05,it
a01-007x-03-06,remains
a01-007x-03-07,Labour
a01-007x-03-08,has
a01-007x-03-09,to
a01-007x-04-00,have
a01-007x-04-01,an
a01-007x-04-02,adequate
a01-007x-04-03,number
a01-007x-04-04,of
a01-007x-04-05,members
a01-007x-04-06,.
a01-007x-04-07,THE
a01-007x-05-00,two
a01-007x-05-01,rival
a01-007x-05-02,African
a01-007x-05-03,Nationalist
a01-007x-05-04,Parties
a01-007x-05-05,of
a01-007x-05-06,Northern
a01-007x-06-00,Rhodesia
a01-007x-06-01,have
a01-007x-06-02,agreed
a01-007x-06-03,to
a01-007x-06-04,get
a01-007x-06-05,together
a01-007x-06-06,to
a01-007x-06-07,face
a01-007x-06-08,the
a01-007x-07-00,challenge
a01-007x-07-01,from
a01-007x-07-02,Sir
a01-007x-07-03,Roy
a01-007x-07-04,Welensky
a01-007x-07-05,","
a01-007x-07-06,the
a01-007x-07-07,Federal
a01-007x-07-08,Premier
a01-007x-07-09,.
a01-011-00-00,Delegates
a01-011-00-01,from
a01-011-00-02,Mr.
a01-011-00-03,Kenneth
a01-011-00-04,Kaunda's
a01-011-00-05,United
a01-011-00-06,National
a01-011-00-07,Independence
a01-011-01-00,Party
a01-011-01-01,(
a01-011-01-02,"280,000"
a01-011-01-03,members
a01-011-01-04,)
a01-011-01-05,and
a01-011-01-06,Mr.
a01-011-01-07,Harry
a01-011-01-08,Nkumbula's
a01-011-01-09,African
a01-011-02-00,National
a01-011-02-01,Congress
a01-011-02-02,(
a01-011-02-03,"400,000"
a01-011-02-04,)
a01-011-02-05,will
a01-011-02-06,meet
a01-011-02-07,in
a01-011-02-08,London
a01-011-02-09,today
a01-011-03-00,to
a01-011-03-01,discuss
a01-011-03-02,a
a01-011-03-03,common
a01-011-03-04,course
a01-011-03-05,of
a01-011-03-06,action
a01-011-03-07,.
a01-011-03-08,Sir
a01-011-03-09,Roy
a01-011-03-10,is
a01-011-04-00,violently
a01-011-04-01,opposed
a01-011-04-02,to
a01-011-04-03,Africans
a01-011-04-04,getting
a01-011-04-05,an
a01-011-04-06,elected
a01-011-04-07,majority
a01-011-05-00,in
a01-011-05-01,Northern
a01-011-05-02,Rhodesia
a01-011-05-03,","
a01-011-05-04,but
a01-011-05-05,the
a01-011-05-06,Colonial
a01-011-05-07,Secretary
a01-011-05-08,","
a01-011-06-00,Mr.
a01-011-06-01,Iain
a01-011-06-02,Macleod
a01-011-06-03,","
a01-011-06-04,is
a01-011-06-05,insisting
a01-011-06-06,on
a01-011-06-07,a
a01-011-06-08,policy
a01-011-06-09,of
a01-011-06-10,change
a01-011-06-11,.
a01-011u-00-00,Delegates
a01-011u-00-01,from
a01-011u-00-02,Mr.
a01-011u-00-03,Kenneth
a01-011u-00-04,Kaunda's
a01-011u-01-00,United
a01-011u-01-01,National
a01-011u-01-02,Independence
a01-011u-01-03,Party
a01-011u-02-00,(
a01-011u-02-01,"280,000"
a01-011u-02-02,members
a01-011u-02-03,)
a01-011u-02-04,and
a01-011u-02-05,Mr.
a01-011u-02-06,Harry
a01-011u-02-07,Nkumbula's
a01-011u-03-00,African
a01-011u-03-01,National
a01-011u-03-02,Congress
a01-011u-03-03,(
a01-011u-03-04,"400,000"
a01-011u-03-05,)
a01-011u-03-06,will
a01-011u-04-00,meet
a01-011u-04-01,in
a01-011u-04-02,London
a01-011u-04-03,today
a01-011u-04-04,to
a01-011u-04-05,discuss
a01-011u-04-06,a
a01-011u-04-07,common
a01-011u-05-00,course
a01-011u-05-01,of
a01-011u-05-02,action
a01-011u-05-03,.
a01-011u-05-04,Sir
a01-011u-05-05,Roy
a01-011u-05-06,is
a01-011u-05-07,violently
a01-011u-06-00,opposed
a01-011u-06-01,to
a01-011u-06-02,Africans
a01-011u-06-03,getting
a01-011u-06-04,an
a01-011u-06-05,elected
a01-011u-07-00,majority
a01-011u-07-01,in
a01-011u-07-02,Northern
a01-011u-07-03,Rhodesia
a01-011u-07-04,","
a01-011u-07-05,but
a01-011u-07-06,the
a01-011u-08-00,Colonial
a01-011u-08-01,Secretary
a01-011u-08-02,","
a01-011u-08-03,Mr.
a01-011u-08-04,Iain
a01-011u-08-05,Macleod
a01-011u-08-06,","
a01-011u-09-00,is
a01-011u-09-01,insisting
a01-011u-09-02,on
a01-011u-09-03,a
a01-011u-09-04,policy
a01-011u-09-05,of
a01-011u-09-06,change
a01-011u-09-07,.
a01-011x-00-00,Delegates
a01-011x-00-01,from
a01-011x-00-02,Mr.
a01-011x-00-03,Kenneth
a01-011x-00-04,Kaunda's
a01-011x-00-05,United
a01-011x-01-00,National
a01-011x-01-01,Independence
a01-011x-01-02,Party
a01-011x-01-03,(
a01-011x-01-04,"280,000"
a01-011x-01-05,members
a01-011x-01-06,)
a01-011x-02-00,and
a01-011x-02-01,Mr.
a01-011x-02-02,Harry
a01-011x-02-03,Nkumbula's
a01-011x-02-04,African
a01-011x-02-05,National
a01-011x-03-00,Congress
a01-011x-03-01,(
a01-011x-03-02,"400,000"
a01-011x-03-03,)
a01-011x-03-04,will
a01-011x-03-05,meet
a01-011x-03-06,in
a01-011x-03-07,London
a01-011x-03-08,today
a01-011x-04-00,to
a01-011x-04-01,discuss
a01-011x-04-02,a
a01-011x-04-03,common
a01-011x-04-04,course
a01-011x-04-05,of
a01-011x-04-06,action
a01-011x-04-07,.
a01-011x-05-00,Sir
a01-011x-05-01,Roy
a01-011x-05-02,is
a01-011x-05-03,violently
a01-011x-05-04,opposed
a01-011x-05-05,to
a01-011x-05-06,Africans
a01-011x-06-00,getting
a01-011x-06-01,an
a01-011x-06-02,elected
a01-011x-06-03,majority
a01-011x-06-04,in
a01-011x-06-05,Northern
a01-011x-07-00,Rhodesia
a01-011x-07-01,","
a01-011x-07-02,but
a01-011x-07-03,the
a01-011x-07-04,Colonial
a01-011x-07-05,Secretary
a01-011x-07-06,","
a01-011x-07-07,Mr.
a01-011x-07-08,Iain
a01-011x-08-00,Macleod
a01-011x-08-01,","
a01-011x-08-02,is
a01-011x-08-03,insisting
a01-011x-08-04,on
a01-011x-08-05,a
a01-011x-08-06,policy
a01-011x-08-07,of
a01-011x-08-08,change
a01-011x-08-09,.
a01-014-00-00,Sir
a01-014-00-01,Roy's
a01-014-00-02,United
a01-014-00-03,Federal
a01-014-00-04,Party
a01-014-00-05,is
a01-014-00-06,boycotting
a01-014-01-00,the
a01-014-01-01,London
a01-014-01-02,talks
a01-014-01-03,on
a01-014-01-04,the
a01-014-01-05,Protectorate's
a01-014-02-00,future
a01-014-02-01,.
a01-014-02-02,Said
a01-014-02-03,Mr.
a01-014-02-04,Nkumbula
a01-014-02-05,last
a01-014-02-06,night
a01-014-02-07,:
a01-014-03-00,""""
a01-014-03-01,We
a01-014-03-02,want
a01-014-03-03,to
a01-014-03-04,discuss
a01-014-03-05,what
a01-014-03-06,to
a01-014-03-07,do
a01-014-03-08,if
a01-014-03-09,the
a01-014-04-00,British
a01-014-04-01,Government
a01-014-04-02,gives
a01-014-04-03,in
a01-014-04-04,to
a01-014-04-05,Sir
a01-014-04-06,Roy
a01-014-04-07,and
a01-014-05-00,the
a01-014-05-01,talks
a01-014-05-02,fall
a01-014-05-03,through
a01-014-05-04,.
a01-014-05-05,There
a01-014-05-06,are
a01-014-05-07,bound
a01-014-06-00,to
a01-014-06-01,be
a01-014-06-02,demonstrations
a01-014-06-03,.
a01-014-06-04,""""
a01-014-06-05,Yesterday
a01-014-06-06,Sir
a01-014-06-07,Roy's
a01-014-07-00,chief
a01-014-07-01,aide
a01-014-07-02,","
a01-014-07-03,Mr.
a01-014-07-04,Julius
a01-014-07-05,Greenfield
a01-014-07-06,","
a01-014-07-07,telephoned
a01-014-08-00,his
a01-014-08-01,chief
a01-014-08-02,a
a01-014-08-03,report
a01-014-08-04,on
a01-014-08-05,his
a01-014-08-06,talks
a01-014-08-07,with
a01-014-09-00,Mr.
a01-014-09-01,Macmillan
a01-014-09-02,at
a01-014-09-03,Chequers
a01-014-09-04,.
a01-014u-00-00,Sir
a01-014u-00-01,Roy's
a01-014u-00-02,United
a01-014u-00-03,Federal
a01-014u-00-04,Party
a01-014u-00-05,is
a01-014u-01-00,boycotting
a01-014u-01-01,the
a01-014u-01-02,London
a01-014u-01-03,talks
a01-014u-01-04,on
a01-014u-01-05,the
a01-014u-02-00,Protectorate's
a01-014u-02-01,future
a01-014u-02-02,.
a01-014u-02-03,Said
a01-014u-02-04,Mr.
a01-014u-02-05,Nkumbula
a01-014u-03-00,last
a01-014u-03-01,night
a01-014u-03-02,:
a01-014u-03-03,""""
a01-014u-03-04,We
a01-014u-03-05,want
a01-014u-03-06,to
a01-014u-03-07,discuss
a01-014u-03-08,what
a01-014u-03-09,to
a01-014u-04-00,do
a01-014u-04-01,if
a01-014u-04-02,the
a01-014u-04-03,British
a01-014u-04-04,demonstrations
a01-014u-04-05,.
a01-014u-04-06,""""
a01-014u-05-00,Yesterday
a01-014u-05-01,Sir
a01-014u-05-02,Roy's
a01-014u-05-03,chief
a01-014u-05-04,aide
a01-014u-05-05,","
a01-014u-05-06,Mr.
a01-014u-06-00,Julius
a01-014u-06-01,Greenfield
a01-014u-06-02,","
a01-014u-06-03,telephoned
a01-014u-06-04,his
a01-014u-06-05,chief
a01-014u-07-00,a
a01-014u-07-01,report
a01-014u-07-02,on
a01-014u-07-03,his
a01-014u-07-04,talks
a01-014u-07-05,with
a01-014u-07-06,Mr.
a01-014u-07-07,Macmillan
a01-014u-08-00,at
a01-014u-08-01,Chequers
a01-014u-08-02,.
a01-014x-00-00,Sir
a01-014x-00-01,Roy's
a01-014x-00-02,United
a01-014x-00-03,Federal
a01-014x-00-04,Party
a01-014x-00-05,is
a01-014x-00-06,boycotting
a01-014x-01-00,the
a01-014x-01-01,London
a01-014x-01-02,talks
a01-014x-01-03,on
a01-014x-01-04,the
a01-014x-01-05,Protectorate's
a01-014x-02-00,future
a01-014x-02-01,.
a01-014x-02-02,Said
a01-014x-02-03,Mr.
a01-014x-02-04,Nkumbula
a01-014x-02-05,last
a01-014x-02-06,night
a01-014x-02-07,:
a01-014x-03-00,""""
a01-014x-03-01,We
a01-014x-03-02,want
a01-014x-03-03,to
a01-014x-03-04,discuss
a01-014x-03-05,what
a01-014x-03-06,to
a01-014x-03-07,do
a01-014x-03-08,if
a01-014x-03-09,the
a01-014x-04-00,British
a01-014x-04-01,Government
a01-014x-04-02,gives
a01-014x-04-03,in
a01-014x-04-04,to
a01-014x-04-05,Sir
a01-014x-04-06,Roy
a01-014x-05-00,and
a01-014x-05-01,the
a01-014x-05-02,talks
a01-014x-05-03,fall
a01-014x-05-04,through
a01-014x-05-05,.
a01-014x-05-06,There
a01-014x-05-07,are
a01-014x-05-08,bound
a01-014x-06-00,to
a01-014x-06-01,be
a01-014x-06-02,demonstrations
a01-014x-06-03,.
a01-014x-06-04,""""
a01-014x-06-05,Yesterday
a01-014x-06-06,Sir
a01-014x-06-07,Roy's
a01-014x-07-00,chief
a01-014x-07-01,aide
a01-014x-07-02,","
a01-014x-07-03,Mr.
a01-014x-07-04,Julius
a01-014x-07-05,Greenfield
a01-014x-07-06,","
a01-014x-07-07,telephoned
a01-014x-08-00,his
a01-014x-08-01,chief
a01-014x-08-02,a
a01-014x-08-03,report
a01-014x-08-04,on
a01-014x-08-05,his
a01-014x-08-06,talks
a01-014x-08-07,with
a01-014x-08-08,Mr.
a01-014x-09-00,Macmillan
a01-014x-09-01,at
a01-014x-09-02,Chequers
a01-014x-09-03,.
a01-020-00-00,Mr.
a01-020-00-01,Macleod
a01-020-00-02,went
a01-020-00-03,on
a01-020-00-04,with
a01-020-00-05,the
a01-020-00-06,conference
a01-020-00-07,at
a01-020-01-00,Lancaster
a01-020-01-01,House
a01-020-01-02,despite
a01-020-01-03,the
a01-020-01-04,crisis
a01-020-01-05,which
a01-020-01-06,had
a01-020-02-00,blown
a01-020-02-01,up
a01-020-02-02,.
a01-020-02-03,He
a01-020-02-04,has
a01-020-02-05,now
a01-020-02-06,revealed
a01-020-02-07,his
a01-020-02-08,full
a01-020-02-09,plans
a01-020-03-00,to
a01-020-03-01,the
a01-020-03-02,Africans
a01-020-03-03,and
a01-020-03-04,Liberals
a01-020-03-05,attending
a01-020-03-06,.
a01-020-03-07,These
a01-020-04-00,plans
a01-020-04-01,do
a01-020-04-02,not
a01-020-04-03,give
a01-020-04-04,the
a01-020-04-05,Africans
a01-020-04-06,the
a01-020-04-07,overall
a01-020-05-00,majority
a01-020-05-01,they
a01-020-05-02,are
a01-020-05-03,seeking
a01-020-05-04,.
a01-020-05-05,African
a01-020-05-06,delegates
a01-020-06-00,are
a01-020-06-01,studying
a01-020-06-02,them
a01-020-06-03,today
a01-020-06-04,.
a01-020-06-05,The
a01-020-06-06,conference
a01-020-07-00,will
a01-020-07-01,meet
a01-020-07-02,to
a01-020-07-03,discuss
a01-020-07-04,the
a01-020-07-05,function
a01-020-07-06,of
a01-020-07-07,a
a01-020-08-00,proposed
a01-020-08-01,House
a01-020-08-02,of
a01-020-08-03,Chiefs
a01-020-08-04,.
a01-020u-00-00,Mr.
a01-020u-00-01,Macleod
a01-020u-00-02,went
a01-020u-00-03,on
a01-020u-00-04,with
a01-020u-00-05,the
a01-020u-00-06,conference
a01-020u-01-00,at
a01-020u-01-01,Lancaster
a01-020u-01-02,House
a01-020u-01-03,despite
a01-020u-01-04,the
a01-020u-01-05,crisis
a01-020u-02-00,which
a01-020u-02-01,had
a01-020u-02-02,blown
a01-020u-02-03,up
a01-020u-02-04,.
a01-020u-02-05,He
a01-020u-02-06,has
a01-020u-02-07,now
a01-020u-02-08,revealed
a01-020u-03-00,his
a01-020u-03-01,full
a01-020u-03-02,plans
a01-020u-03-03,to
a01-020u-03-04,the
a01-020u-03-05,Africans
a01-020u-03-06,and
a01-020u-03-07,Liberals
a01-020u-04-00,attending
a01-020u-04-01,.
a01-020u-04-02,These
a01-020u-04-03,plans
a01-020u-04-04,do
a01-020u-04-05,not
a01-020u-04-06,give
a01-020u-04-07,the
a01-020u-05-00,Africans
a01-020u-05-01,the
a01-020u-05-02,overall
a01-020u-05-03,majority
a01-020u-05-04,they
a01-020u-05-05,are
a01-020u-06-00,seeking
a01-020u-06-01,.
a01-020u-06-02,African
a01-020u-06-03,delegates
a01-020u-06-04,are
a01-020u-06-05,studying
a01-020u-07-00,them
a01-020u-07-01,today
a01-020u-07-02,.
a01-020u-07-03,The
a01-020u-07-04,conference
a01-020u-07-05,will
a01-020u-07-06,meet
a01-020u-08-00,to
a01-020u-08-01,discuss
a01-020u-08-02,the
a01-020u-08-03,function
a01-020u-08-04,of
a01-020u-08-05,a
a01-020u-08-06,proposed
a01-020u-09-00,House
a01-020u-09-01,of
a01-020u-09-02,Chiefs
a01-020u-09-03,.
a01-020x-00-00,Mr.
a01-020x-00-01,Macleod
a01-020x-00-02,went
a01-020x-00-03,on
a01-020x-00-04,with
a01-020x-00-05,the
a01-020x-00-06,conference
